sequence1,sequence2,max_length,is_duplicate
1 1 4 4 4 4 4 3 3 3 2 3 3 3 2 2 0 0 4 4 1 3 1 1 1 0 0 4 1 0 0 1 -1 0 0 4 3 3 4 0 4 0 1 1 1 4 0 0 0 2 3 ,3 3 3 2 2 3 3 2 3 -1 -1 4 4 4 0 -1 -1 0 4 0 4 4 4 0 0 0 2 3 0 -1 1 1 0 0 4 2 2 4 1 0 0 0 2 ,51,1
-1 1 4 4 2 4 4 4 4 4 2 2 3 2 2 -1 -1 4 4 4 4 4 4 4 3 1 1 0 0 4 4 3 1 -1 -1 3 1 1 1 3 3 4 0 0 0 4 0 4 1 1 1 1 0 0 0 4 ,-1 3 3 3 3 4 4 2 2 3 3 2 2 3 -1 -1 0 1 4 4 4 3 0 0 1 0 0 4 4 4 4 4 1 1 -1 -1 0 0 3 -1 3 0 2 2 0 0 0 4 2 2 4 4 0 0 0 2 2 ,57,1
-1 1 1 4 2 2 4 4 3 3 3 3 3 3 3 2 4 0 0 0 -1 4 4 4 4 0 1 0 3 4 4 4 1 0 0 -1 0 0 1 3 0 0 0 0 1 1 1 1 2 3 4 ,3 3 3 3 3 3 3 2 2 4 4 4 4 3 3 3 2 -1 -1 0 1 1 4 -1 0 0 -1 0 0 0 1 1 0 4 0 -1 2 0 -1 -1 1 1 0 0 2 2 2 0 0 0 4 2 -1 -1 1 0 0 2 ,58,1
1 4 4 4 4 3 2 3 0 0 4 4 4 1 0 3 4 4 0 0 1 -1 1 1 4 4 3 0 0 4 3 1 1 1 0 3 ,-1 3 3 3 3 3 3 3 4 4 4 4 2 3 3 3 2 2 2 2 -1 -1 -1 1 4 4 4 -1 -1 -1 -1 0 0 0 1 1 1 1 0 4 4 -1 -1 3 2 3 0 -1 1 0 2 0 0 3 4 4 2 -1 -1 1 1 1 3 2 2 2 ,66,1
1 1 4 4 4 2 2 4 4 4 3 3 2 2 3 3 3 3 4 3 3 -1 4 4 4 4 1 0 1 1 1 0 0 4 4 4 4 0 4 -1 -1 0 3 4 3 4 4 0 0 0 1 3 4 1 1 1 0 2 2 4 4 ,-1 -1 3 4 2 3 3 3 3 -1 -1 4 0 -1 -1 0 0 4 1 1 4 4 0 0 0 0 -1 2 3 3 1 1 0 3 0 0 4 -1 -1 3 0 0 4 4 0 ,61,1
1 1 4 4 4 4 3 2 3 3 3 3 2 2 4 0 -1 -1 4 4 4 4 1 0 0 1 1 0 4 1 0 1 1 3 0 4 3 4 3 0 4 1 1 0 0 3 2 3 3 4 ,-1 3 3 3 3 4 4 2 2 3 3 3 2 3 -1 -1 0 4 4 4 -1 0 0 3 1 4 4 4 4 -1 0 0 0 -1 2 2 0 0 0 2 2 2 3 0 4 2 -1 -1 1 4 0 3 4 4 2 2 ,56,1
-1 1 1 4 4 4 4 2 4 4 3 3 3 3 2 3 3 3 3 3 2 4 0 0 -1 4 4 4 4 4 4 1 0 0 0 1 1 0 0 4 0 0 1 1 4 4 0 1 1 4 3 ,-1 -1 3 3 4 4 4 2 2 3 3 3 3 2 3 -1 0 0 1 4 4 -1 0 0 -1 0 3 4 0 0 4 4 1 -1 0 0 0 -1 3 1 1 2 2 0 0 0 0 4 4 -1 -1 1 1 1 3 3 4 0 2 ,59,1
1 4 4 4 2 2 4 4 3 3 3 2 2 3 3 3 3 0 0 0 0 -1 4 4 1 0 0 1 1 4 4 4 0 1 -1 0 0 4 1 3 4 3 0 1 0 0 4 1 1 0 3 2 2 3 3 4 4 ,3 3 3 2 4 4 4 4 2 3 3 3 3 2 3 -1 4 4 4 -1 -1 0 0 1 4 4 4 4 1 -1 -1 0 0 -1 -1 3 1 2 2 3 4 4 2 -1 -1 4 4 0 3 0 2 ,57,1
1 4 4 4 4 2 4 4 3 3 2 3 3 3 2 2 4 4 0 0 0 4 4 4 4 4 4 4 0 1 1 1 1 3 0 0 4 4 4 1 3 0 3 1 1 3 4 4 3 0 0 1 1 1 4 0 0 0 3 ,3 3 3 3 4 4 4 3 3 3 2 2 3 3 -1 -1 4 4 4 4 0 0 1 1 1 0 0 4 4 4 1 1 0 0 3 -1 2 0 2 0 0 4 4 2 -1 -1 1 4 0 0 0 4 2 2 2 ,59,1
-1 -1 1 2 4 4 4 4 3 3 3 3 4 0 0 0 0 4 4 4 4 4 4 4 4 1 1 0 3 1 1 0 4 4 0 0 1 1 0 0 1 1 1 0 4 1 1 1 0 3 3 4 4 ,-1 3 3 4 4 2 2 3 3 3 2 2 2 3 3 -1 1 4 4 -1 0 3 0 0 4 1 0 4 4 1 -1 0 0 -1 0 -1 1 0 0 2 2 0 0 0 4 2 2 -1 1 1 0 0 0 4 ,54,1
1 1 4 4 4 3 3 3 2 3 3 3 4 0 0 0 -1 1 0 0 1 1 0 0 0 4 1 1 1 -1 0 0 1 1 3 0 3 3 4 1 3 2 2 3 ,-1 3 3 3 3 3 3 2 4 3 3 3 3 3 -1 0 1 1 4 -1 0 0 -1 0 0 0 4 1 1 1 -1 0 0 2 2 0 -1 1 1 3 3 3 2 2 -1 -1 1 0 0 3 2 ,51,1
4 4 4 2 4 4 4 3 3 3 3 3 3 3 4 0 3 4 4 4 1 0 0 0 4 1 0 3 4 4 1 0 1 -1 -1 0 0 0 1 1 1 3 4 4 0 1 0 0 1 1 1 1 3 3 ,-1 3 2 4 4 4 4 2 2 2 3 3 3 3 3 2 2 2 2 0 1 1 4 4 4 4 0 -1 0 0 0 1 1 1 4 4 -1 3 0 0 3 3 1 1 0 0 2 2 2 2 0 0 -1 -1 1 0 4 3 2 2 ,60,1
-1 1 4 4 2 2 2 3 3 3 3 3 4 4 0 3 -1 4 4 4 4 0 0 3 1 1 0 3 4 4 4 3 1 -1 0 1 4 3 4 4 3 1 4 3 2 3 4 ,-1 3 3 3 3 3 2 4 4 4 4 2 3 3 3 3 0 0 -1 1 4 3 0 4 0 0 4 1 -1 -1 0 0 3 -1 -1 2 1 0 2 2 2 2 0 0 0 0 0 0 2 -1 -1 1 4 0 0 0 ,56,1
-1 1 1 4 4 2 4 4 4 4 2 2 3 3 3 3 4 4 4 4 4 1 1 3 0 0 1 0 0 0 4 4 4 4 0 0 0 1 1 1 3 3 0 1 0 1 4 1 0 0 3 3 4 ,-1 3 3 3 3 2 4 4 2 3 3 2 2 2 0 -1 1 -1 0 0 -1 -1 0 0 1 1 1 0 4 4 1 1 0 0 -1 2 3 3 0 -1 1 0 0 2 3 3 4 -1 -1 1 0 0 0 0 4 4 0 2 ,58,1
1 4 2 2 4 3 3 3 3 3 3 -1 4 4 4 4 1 0 4 4 4 -1 -1 0 3 1 3 4 4 0 1 1 1 1 0 0 3 2 2 3 4 ,3 3 3 2 4 4 4 4 3 3 3 4 -1 0 0 -1 0 0 4 1 0 1 -1 -1 0 -1 2 3 3 -1 1 1 0 0 2 2 2 2 0 0 0 0 4 2 1 1 1 ,47,1
-1 1 1 4 4 2 4 4 4 3 3 3 3 3 3 0 0 0 -1 4 4 0 0 0 1 1 1 0 0 0 4 0 1 1 -1 0 0 0 1 3 3 4 4 0 0 1 1 0 1 1 1 1 0 0 ,3 3 2 2 4 4 2 3 3 3 2 3 3 -1 3 -1 -1 4 -1 0 0 -1 0 0 1 0 4 1 1 -1 0 3 -1 3 0 1 1 2 0 0 4 2 2 -1 1 1 1 3 0 2 2 2 ,54,1
-1 1 1 4 4 4 4 2 2 4 4 3 3 2 3 3 3 4 4 4 4 1 1 0 0 0 1 1 0 0 1 1 1 -1 3 1 4 0 1 1 0 1 1 4 1 3 0 0 2 2 3 3 4 ,-1 -1 3 3 2 4 2 2 3 3 3 3 2 3 0 1 1 -1 -1 3 -1 0 4 0 0 1 -1 0 0 0 -1 2 2 0 -1 1 0 2 2 2 3 0 0 4 4 2 -1 1 1 0 0 0 3 2 ,54,1
-1 1 1 4 4 4 4 4 2 2 3 2 3 3 3 2 2 0 0 4 4 4 0 0 4 1 0 0 4 4 1 1 0 1 1 0 0 4 1 1 3 3 1 0 0 1 1 1 1 4 3 0 ,-1 3 2 4 4 4 4 2 2 2 3 3 3 3 3 2 2 2 -1 -1 -1 -1 1 4 4 4 -1 -1 3 -1 -1 3 0 4 3 4 4 4 4 1 -1 -1 3 0 0 -1 2 3 -1 -1 1 0 2 2 2 2 2 2 0 0 0 4 -1 -1 -1 1 3 0 4 0 2 2 2 ,73,1
1 1 4 4 4 2 4 4 4 3 3 2 3 4 0 0 0 0 4 1 0 0 0 1 0 0 0 4 4 4 4 0 1 0 0 0 1 1 1 3 0 0 0 3 4 1 0 0 3 ,-1 3 3 3 3 3 3 2 2 4 4 4 2 2 3 3 2 2 3 3 0 0 4 0 -1 0 1 1 4 0 0 4 1 1 3 3 -1 2 3 3 3 2 3 3 3 4 2 2 -1 4 3 0 0 4 3 2 ,56,1
-1 -1 4 4 4 4 4 4 4 3 3 2 3 3 3 0 0 4 4 4 4 4 0 0 0 1 1 0 0 4 1 1 0 0 1 1 -1 0 0 3 4 1 4 4 0 0 0 0 1 1 0 1 1 0 2 ,3 3 3 3 3 3 4 4 4 4 2 2 3 2 2 2 3 -1 1 1 4 -1 -1 0 0 0 1 0 4 4 4 1 1 -1 0 -1 2 3 3 1 2 2 2 0 4 4 2 -1 -1 -1 1 1 1 0 4 0 ,56,1
4 4 4 3 3 3 3 2 4 0 0 3 4 4 1 1 0 0 0 1 1 4 0 4 4 4 1 1 0 0 -1 3 3 4 1 4 0 0 1 0 4 1 1 3 0 0 2 3 ,3 3 3 3 4 4 2 2 3 3 2 2 -1 -1 3 1 4 3 1 1 3 4 4 0 0 0 3 0 3 2 2 2 0 0 0 4 4 -1 -1 1 1 0 0 4 0 2 ,48,1
-1 1 4 2 4 3 3 3 3 3 3 2 2 0 -1 4 4 1 0 0 0 1 1 1 1 0 3 4 1 0 4 0 4 1 0 0 0 0 1 0 1 1 1 2 4 4 ,3 3 3 3 2 4 2 2 3 3 3 2 2 3 -1 1 1 4 0 0 0 1 4 0 4 4 0 0 0 0 -1 -1 2 2 3 3 3 -1 1 0 2 2 0 0 3 -1 1 0 0 4 4 0 ,52,1
4 4 2 4 3 3 3 2 2 3 3 2 2 0 0 0 4 4 4 4 4 0 0 4 3 4 4 4 3 1 1 0 0 1 4 3 4 0 3 1 1 1 4 0 0 0 0 3 4 4 ,3 2 4 4 4 2 2 3 3 3 3 2 2 2 3 3 0 0 4 4 -1 3 -1 0 4 1 1 4 4 4 1 -1 0 0 2 3 4 0 2 2 0 0 0 4 4 -1 -1 4 1 3 4 3 ,52,1
-1 1 1 4 2 2 3 3 3 3 3 3 3 2 4 4 3 0 0 4 4 4 4 4 1 0 0 1 4 3 0 0 4 4 4 4 1 1 4 0 0 0 4 3 0 0 4 1 1 4 0 0 2 3 4 ,-1 3 3 2 2 4 4 4 3 3 3 2 2 2 3 3 0 0 -1 -1 1 1 4 4 4 4 -1 0 0 -1 4 1 3 4 1 -1 3 0 0 -1 3 0 -1 -1 0 2 2 2 3 3 0 2 2 -1 -1 1 1 1 0 3 2 ,61,1
-1 -1 4 4 4 4 3 2 3 2 2 0 0 4 4 4 4 4 4 1 0 0 1 1 0 3 4 1 0 0 1 1 -1 0 0 1 4 3 4 4 3 0 0 1 1 0 4 1 1 1 0 0 0 0 2 4 ,-1 3 3 2 2 4 4 2 2 2 3 3 3 2 3 0 0 4 4 4 -1 3 -1 0 3 1 4 0 0 4 4 1 -1 0 0 -1 0 0 3 4 -1 -1 1 1 0 0 0 4 4 0 ,56,1
4 4 4 2 2 4 4 3 3 2 3 3 4 4 -1 4 4 4 4 1 3 0 1 0 0 0 4 4 4 1 1 -1 -1 0 0 0 1 1 3 4 0 0 4 3 4 1 1 3 0 0 2 3 ,-1 -1 3 3 3 3 2 4 4 4 2 2 2 3 3 -1 -1 0 -1 1 4 4 3 1 1 0 4 4 4 4 1 1 0 0 0 -1 2 -1 1 0 2 2 2 2 0 3 0 0 1 1 1 3 0 0 ,54,1
-1 1 1 4 2 2 4 4 4 3 2 3 3 3 3 3 0 3 -1 4 4 4 4 4 0 3 1 1 1 0 4 4 4 1 0 0 0 0 3 1 1 4 3 4 4 1 1 3 0 2 3 3 4 ,-1 3 3 3 4 4 2 3 3 2 2 2 0 4 4 -1 0 0 -1 0 1 1 1 1 0 4 4 4 1 0 3 -1 2 2 3 3 0 -1 1 0 2 0 0 3 2 1 4 0 0 0 4 0 2 ,53,1
-1 1 1 4 4 4 2 4 4 3 3 2 2 3 3 3 3 4 3 0 -1 4 4 4 4 4 0 0 1 4 0 0 4 1 0 1 1 3 1 3 3 0 1 3 4 4 4 0 0 2 3 ,-1 3 3 3 3 3 2 4 4 4 2 3 3 2 3 0 -1 1 4 0 0 0 1 4 4 4 4 1 1 -1 -1 0 0 0 0 2 0 4 3 2 2 2 0 0 0 -1 1 1 1 0 4 4 0 0 2 ,55,1
4 4 4 4 4 3 3 2 3 3 3 3 3 2 2 3 0 4 4 4 4 4 0 1 1 1 0 0 0 0 4 1 1 0 0 1 -1 -1 0 1 1 0 0 1 3 1 1 0 0 2 3 4 ,-1 -1 3 3 2 4 4 4 4 2 3 2 2 3 3 -1 0 -1 -1 4 0 0 -1 0 0 3 1 4 0 4 4 4 1 0 0 2 -1 1 1 0 0 2 2 2 2 0 0 0 2 2 -1 -1 1 0 3 4 4 2 ,58,1
-1 -1 4 2 4 4 4 4 3 3 3 3 2 4 4 0 0 0 4 4 4 4 4 3 4 4 0 0 4 4 4 1 1 1 -1 -1 0 4 1 1 4 0 0 4 0 1 1 1 1 1 3 3 3 ,-1 3 3 4 4 2 2 2 3 -1 -1 4 4 3 -1 0 0 3 1 1 0 0 4 4 1 0 0 0 2 2 0 0 4 2 2 0 0 0 4 2 2 1 0 0 0 0 2 2 ,53,1
-1 1 4 4 4 2 2 4 4 3 3 3 4 4 3 0 -1 4 4 4 4 4 1 0 1 1 1 0 3 4 1 0 4 0 0 0 4 3 4 3 0 1 1 3 4 1 1 1 3 3 ,3 3 3 3 3 3 4 3 3 3 2 2 2 3 3 -1 -1 0 -1 1 4 4 4 0 -1 0 0 0 1 1 1 1 4 4 4 1 3 0 0 -1 3 3 3 -1 -1 1 1 0 2 0 3 0 -1 -1 1 1 1 0 0 0 2 2 2 ,63,1
-1 1 4 4 4 4 3 2 3 3 4 4 0 0 0 0 -1 4 4 4 4 4 0 3 0 0 0 4 4 4 1 0 1 1 -1 0 1 1 1 3 1 1 1 1 1 1 0 0 2 2 3 4 4 ,3 2 4 4 4 4 2 2 3 3 3 3 2 2 2 2 3 -1 0 -1 1 1 -1 -1 0 -1 -1 0 0 4 4 0 4 1 1 -1 -1 0 0 0 -1 2 3 3 0 1 0 2 2 2 2 2 0 3 0 0 -1 -1 4 4 0 0 3 0 0 ,65,1
-1 4 4 2 4 4 3 2 3 4 0 3 -1 4 4 4 4 4 1 0 0 0 0 1 4 3 0 0 4 0 1 0 0 1 1 3 4 3 1 0 1 1 0 3 4 ,-1 -1 3 3 3 4 4 4 4 4 3 3 2 -1 0 -1 1 0 -1 -1 0 0 3 4 1 0 4 4 4 -1 0 0 -1 2 3 3 3 -1 2 2 0 4 2 -1 -1 1 1 4 3 4 0 ,51,1
-1 -1 1 1 4 4 4 4 4 4 4 3 3 2 2 3 3 3 3 3 2 4 4 4 4 4 4 1 0 1 1 1 0 0 4 4 4 1 0 0 1 0 0 0 1 1 1 1 3 4 4 0 0 4 1 1 1 1 3 0 4 ,-1 3 3 3 2 3 3 3 2 2 -1 3 1 1 4 4 3 -1 -1 3 0 1 1 4 4 -1 0 -1 -1 2 2 3 0 1 1 3 2 2 2 2 0 0 0 0 0 2 2 -1 1 4 3 0 0 0 0 ,61,1
-1 4 4 4 4 2 3 3 2 3 2 3 0 -1 4 4 4 4 0 0 0 0 1 0 0 4 4 1 3 1 1 -1 -1 0 0 0 4 3 4 4 3 0 1 0 1 1 1 1 1 1 3 2 3 4 ,3 3 4 2 3 3 3 3 2 2 3 -1 0 -1 4 4 -1 3 0 0 1 1 0 4 4 4 1 1 -1 0 3 3 0 0 4 0 2 2 2 0 0 0 0 4 2 -1 1 4 3 0 2 2 ,54,1
-1 -1 1 4 4 4 2 2 4 3 3 3 3 3 2 3 0 4 1 0 0 0 4 4 4 1 0 4 -1 0 0 4 1 3 3 4 0 0 3 1 3 1 1 0 3 3 ,3 3 4 4 2 3 3 3 2 2 3 3 0 1 4 4 4 -1 -1 -1 0 0 0 0 0 4 4 4 4 4 -1 0 0 0 -1 -1 2 3 -1 -1 1 0 2 2 0 0 0 0 4 4 -1 -1 4 1 3 0 4 0 2 2 ,60,1
-1 -1 4 4 4 4 3 3 3 2 3 0 0 4 4 4 0 0 1 0 0 4 4 1 1 3 1 -1 0 0 1 1 4 4 4 0 3 1 0 1 1 1 1 1 1 0 4 ,-1 3 3 3 2 3 3 3 2 2 2 3 -1 -1 0 0 -1 -1 4 4 4 3 0 0 4 4 4 4 -1 -1 4 2 2 2 2 0 0 0 4 -1 -1 -1 4 0 0 4 3 2 ,48,1
-1 -1 1 4 4 4 4 4 2 4 4 4 3 3 3 4 0 -1 4 4 0 0 4 1 3 0 4 1 0 0 0 1 1 1 3 4 4 1 1 1 1 1 0 0 2 2 ,-1 3 3 4 4 2 3 3 2 3 0 0 -1 -1 4 4 0 0 1 1 4 4 4 -1 -1 3 3 -1 -1 3 3 3 -1 1 1 2 2 0 0 4 2 -1 1 0 0 0 3 2 2 2 2 ,51,1
1 1 4 4 4 3 3 3 3 2 4 4 0 3 4 4 4 4 4 4 0 0 0 1 1 4 0 0 0 4 0 0 1 -1 3 0 1 1 3 4 0 0 1 1 3 4 4 1 1 3 3 3 3 ,-1 -1 3 3 3 3 4 3 3 3 2 -1 -1 1 4 4 -1 0 1 1 3 4 1 0 0 -1 0 -1 1 3 2 3 3 4 4 -1 -1 -1 1 1 1 4 2 2 ,53,1
1 4 4 4 4 2 2 4 4 3 2 3 3 3 2 4 0 -1 4 4 4 1 3 0 4 0 0 4 4 1 1 0 4 -1 0 0 3 4 4 0 3 4 3 0 2 2 3 3 4 4 ,4 2 3 3 -1 0 -1 -1 1 4 4 4 -1 0 -1 0 0 0 4 1 0 4 4 1 0 3 3 0 1 0 2 2 2 3 3 0 4 4 -1 1 1 1 3 0 0 4 4 0 ,50,1
-1 -1 4 4 4 4 3 2 3 3 3 4 0 0 -1 4 4 4 4 4 1 0 0 0 1 1 0 0 1 1 1 -1 0 0 0 1 1 4 4 0 0 1 1 1 1 1 4 0 0 2 2 3 3 ,-1 -1 3 3 3 3 2 4 2 3 2 2 3 -1 -1 0 1 4 4 -1 0 3 0 0 1 1 1 0 0 4 4 4 1 1 -1 -1 3 -1 3 3 0 -1 -1 1 1 2 2 2 2 0 0 4 4 2 1 4 0 4 4 0 0 2 2 ,63,1
-1 -1 1 1 4 4 4 3 3 3 3 2 2 4 4 0 3 4 4 4 3 4 3 0 0 4 4 1 -1 0 4 3 3 0 1 0 4 1 1 1 0 2 3 4 4 ,-1 2 2 4 4 4 4 4 2 2 3 3 3 3 2 0 -1 4 4 0 -1 0 0 1 4 0 4 4 -1 0 0 -1 2 3 3 -1 0 2 2 2 0 4 -1 -1 -1 1 1 0 4 0 ,50,1
-1 4 4 4 2 4 4 4 2 2 3 3 3 3 3 2 4 4 0 3 -1 4 4 4 4 4 0 0 3 4 0 0 4 0 4 -1 4 1 4 4 0 0 4 0 1 1 1 0 0 0 2 3 ,3 3 3 2 2 4 4 2 2 2 3 3 3 2 2 -1 0 0 -1 -1 1 4 4 -1 3 0 3 1 4 4 4 4 -1 -1 3 3 -1 -1 2 3 3 3 1 2 2 2 0 2 -1 -1 -1 1 1 0 0 3 3 2 2 ,59,1
1 1 4 4 4 4 4 2 2 3 3 3 3 3 3 2 4 4 3 0 -1 4 4 4 4 4 4 3 4 4 0 0 0 4 4 4 1 1 1 0 0 4 4 4 0 0 1 1 1 1 1 0 0 0 3 ,-1 3 2 4 4 4 2 2 3 3 3 2 2 3 -1 3 1 1 4 -1 -1 0 0 3 1 0 4 1 1 -1 0 0 0 0 -1 2 2 3 3 2 2 2 3 3 0 4 -1 -1 -1 1 3 0 0 4 4 3 2 ,57,1
-1 -1 1 4 4 4 4 3 3 3 2 3 3 3 0 4 4 1 1 0 0 1 1 0 0 0 0 4 4 4 0 4 -1 -1 0 0 1 1 1 3 0 0 0 0 1 1 0 0 0 3 4 ,-1 -1 3 3 3 2 2 2 3 3 2 2 2 -1 -1 3 -1 -1 1 1 4 4 4 4 3 -1 -1 0 0 3 4 4 4 3 0 -1 -1 1 0 0 2 0 3 0 -1 -1 -1 1 1 0 0 4 0 2 ,54,1
-1 1 4 4 4 2 2 4 4 4 3 3 3 2 2 3 3 -1 -1 4 4 4 0 4 3 0 0 4 1 0 3 3 1 3 0 0 1 1 1 1 0 4 4 ,-1 3 3 3 4 4 2 2 3 3 3 2 3 -1 0 1 4 4 -1 0 1 1 4 0 4 4 -1 0 0 2 3 0 0 1 3 2 2 2 2 0 0 0 4 4 2 -1 -1 1 1 0 0 4 0 0 2 ,55,1
4 4 2 2 4 4 3 3 3 3 2 2 0 -1 -1 4 4 4 4 4 4 4 0 0 0 0 1 1 0 4 4 0 1 -1 -1 0 0 4 3 3 0 1 0 0 1 4 4 0 0 2 3 3 4 ,-1 -1 3 3 2 4 2 3 3 2 3 3 -1 0 0 -1 0 -1 1 1 0 4 4 4 4 4 -1 -1 0 0 3 -1 1 3 2 2 2 0 0 0 0 4 -1 -1 1 1 1 3 0 4 ,53,1
-1 -1 1 1 4 4 4 4 4 4 4 4 3 2 2 3 3 3 3 4 0 0 0 -1 4 4 4 4 4 4 1 0 0 0 1 3 0 4 4 4 4 0 1 -1 1 1 1 3 4 3 1 1 1 1 1 0 0 0 0 2 2 3 4 ,3 2 4 4 2 2 2 -1 3 4 4 -1 -1 3 0 0 3 1 1 1 0 4 1 1 -1 -1 0 0 0 0 -1 1 1 3 2 2 2 2 0 0 0 0 4 2 -1 -1 1 0 0 4 0 2 ,63,1
-1 1 1 4 4 4 4 2 4 4 4 3 2 2 3 3 0 -1 -1 4 4 4 1 1 0 0 0 1 1 1 0 0 4 -1 -1 3 0 0 4 3 4 0 0 1 3 1 1 1 3 0 3 ,-1 3 3 2 4 4 4 4 2 2 2 3 3 3 3 3 2 2 3 -1 -1 0 -1 4 4 -1 0 0 0 0 4 1 3 4 1 -1 0 0 0 0 -1 2 3 3 1 2 2 2 0 0 -1 -1 -1 0 0 0 0 2 2 ,59,1
-1 -1 1 4 4 4 4 4 4 4 3 3 3 3 2 2 3 3 2 2 4 3 0 -1 4 4 4 4 1 0 0 4 1 0 4 4 0 4 -1 0 0 4 1 3 4 4 3 0 1 3 1 1 1 2 3 4 ,3 3 3 3 2 2 2 2 2 3 3 -1 1 4 -1 0 0 -1 0 1 1 0 4 4 4 4 0 -1 4 0 0 2 0 3 0 -1 -1 -1 -1 4 4 4 4 3 2 ,56,1
-1 1 4 2 3 3 3 3 2 4 3 0 -1 4 4 4 4 4 4 4 4 4 1 0 0 1 1 0 3 4 3 1 1 -1 -1 0 0 3 1 1 0 1 1 1 0 0 3 2 3 4 4 ,-1 -1 3 3 3 3 2 2 4 4 2 2 3 2 2 2 3 3 3 -1 -1 4 0 0 0 0 0 0 1 1 4 4 4 4 4 1 0 0 0 2 2 3 0 0 -1 -1 4 0 0 0 0 3 0 0 2 -1 -1 -1 1 3 0 4 2 2 2 ,65,1
1 4 4 4 4 4 4 4 3 3 3 2 3 3 3 3 2 4 3 4 4 4 4 1 0 0 1 1 0 0 1 -1 3 0 4 4 0 0 0 4 0 0 1 1 1 1 0 0 4 4 ,-1 3 3 3 2 4 4 2 2 3 3 3 3 2 2 3 -1 1 0 0 0 3 1 1 1 1 0 4 4 1 -1 -1 3 0 1 0 2 2 2 0 3 4 2 -1 -1 4 4 0 0 0 0 ,51,1
-1 1 4 4 2 4 4 4 2 3 3 2 2 4 0 0 -1 4 4 4 4 4 4 4 0 1 1 1 3 0 4 4 1 1 0 4 -1 -1 0 0 0 1 4 0 0 0 0 1 1 1 1 0 2 4 ,3 4 4 4 4 2 3 3 3 3 2 2 2 3 3 -1 1 1 -1 0 0 -1 0 0 1 1 0 0 4 4 1 -1 0 0 0 0 1 3 2 3 0 3 2 -1 -1 0 0 0 0 4 3 2 ,54,1
1 4 4 4 4 2 4 3 3 3 3 3 3 3 3 3 2 2 4 0 0 0 -1 4 4 4 4 4 4 0 0 0 4 1 1 3 0 4 1 3 1 -1 0 0 0 0 1 1 4 3 4 0 0 3 1 1 0 2 2 4 ,-1 3 3 2 2 4 2 2 2 3 3 2 3 -1 0 -1 4 4 -1 -1 0 -1 -1 0 0 1 1 1 3 4 4 -1 0 0 2 2 0 -1 -1 1 0 0 2 2 0 0 3 3 0 3 2 2 2 ,60,1
-1 4 4 4 4 4 4 4 4 3 3 3 0 0 3 -1 4 4 4 4 1 1 1 0 4 1 0 4 -1 -1 3 0 0 4 1 0 0 0 1 3 1 1 3 3 3 ,-1 3 3 3 2 2 4 4 2 2 3 3 2 2 2 -1 -1 3 -1 -1 1 4 4 -1 0 4 0 4 4 4 4 4 1 3 0 0 0 -1 1 0 2 2 0 3 0 0 -1 -1 0 0 0 4 0 ,53,1
-1 4 2 4 4 2 3 3 4 0 0 -1 4 4 4 4 0 0 0 4 4 3 3 1 1 0 3 1 1 1 1 0 0 0 4 0 1 1 4 0 3 4 ,-1 3 3 2 3 3 3 2 2 2 -1 0 4 4 4 4 -1 3 0 1 1 0 0 4 4 1 0 -1 -1 2 3 3 0 4 0 0 2 3 0 0 4 -1 -1 -1 -1 1 4 3 3 4 0 2 2 ,53,1
1 4 4 4 4 2 4 4 4 3 3 3 3 3 2 0 0 -1 -1 4 4 4 4 4 4 0 0 1 0 0 4 4 4 1 1 0 1 -1 -1 0 0 0 1 4 3 3 4 0 0 0 1 1 0 0 1 1 0 0 3 2 4 ,-1 3 2 4 4 4 4 4 2 2 3 3 3 2 2 -1 -1 3 -1 -1 4 4 4 -1 0 0 -1 0 1 0 4 4 4 4 4 1 -1 -1 0 3 3 1 1 0 2 0 0 3 4 4 -1 1 1 1 0 0 0 4 0 2 ,61,1
1 4 2 2 4 4 4 3 3 3 3 3 3 3 3 3 0 -1 4 4 4 4 4 1 0 0 3 1 0 0 4 4 4 3 4 3 0 0 1 1 3 3 4 4 0 1 1 0 0 4 0 0 2 3 4 4 ,-1 3 3 3 2 2 4 4 4 4 4 3 2 3 -1 -1 -1 -1 1 3 -1 0 0 1 1 3 4 4 4 -1 2 0 -1 1 1 0 2 2 3 3 4 -1 -1 -1 1 1 3 3 4 4 2 ,56,1
-1 4 4 4 4 4 4 2 2 4 3 3 3 2 4 0 0 0 -1 4 4 4 4 4 4 1 0 0 0 1 1 3 0 4 4 4 3 4 0 0 3 1 3 3 4 0 0 0 0 1 1 0 4 4 0 2 3 3 ,-1 3 4 4 2 2 3 3 3 2 0 -1 -1 1 4 3 0 3 1 1 4 0 0 4 1 1 0 0 -1 2 3 1 1 3 2 2 2 0 0 0 0 0 4 2 2 -1 4 1 1 0 0 0 2 ,58,1
1 1 4 4 4 2 4 4 3 2 3 3 2 4 4 3 0 4 4 4 4 1 3 3 1 0 3 4 4 1 3 4 0 0 0 1 1 4 0 0 0 4 1 1 0 2 3 3 4 ,-1 -1 3 3 3 3 3 3 2 2 4 4 2 2 3 3 3 3 3 -1 -1 1 1 4 4 4 -1 0 0 3 1 1 4 3 4 4 4 4 1 1 0 0 0 0 2 0 -1 -1 1 0 0 2 2 2 2 3 0 0 0 1 1 1 0 3 0 0 2 ,67,1
